model,target,rmse,mae,r2
XGBoost,H2O_out,663.1929136762993,455.4195108313719,0.993448633525016
HistGradientBoosting,H2O_out,695.4175011898192,487.7148340215815,0.9927965031244974
LinearRegression,H2O_out,827.0528546055178,624.1665258879285,0.9898113024654901
ExtraTrees,H2O_out,992.7538593788186,711.1371222347516,0.9853196872460257
Ridge,H2O_out,1054.3835579610497,779.3400300137253,0.9834404172503016
RandomForest,H2O_out,1102.8834247353439,796.4518768025117,0.981881953941443
XGBoost,impurity_out,0.2935105189319787,0.2110465404416172,0.9939109978272028
HistGradientBoosting,impurity_out,0.2944388549873495,0.21219405223498863,0.9938724194514347
Ridge,impurity_out,0.3194585684560317,0.24535691823021424,0.9927868017129237
LinearRegression,impurity_out,0.32305689970925217,0.24707385632214,0.9926233898741365
ExtraTrees,impurity_out,3.478309933988067,2.9150334790281516,0.14486369930557363
RandomForest,impurity_out,3.5024388321187105,2.948759969785473,0.13295845569329345
